,Market,Date,Opening,Gross
1,United States of America,26-Apr-19,357115007 ,858373000 
4,Austria,24-Apr-19,3563042 ,8376632 
5,Belgium,24-Apr-19,3141578 ,8682740 
6,Bulgaria,26-Apr-19,442037 ,1469984 
7,Croatia,25-Apr-19,545732 ,1144369 
8,Czechia,25-Apr-19,2534713 ,6610971 
9,Denmark,24-Apr-19,4223121 ,10254418 
10,Egypt,26-Apr-19,,1754341 
11,Finland,24-Apr-19,2137080 ,4938241 
12,France,24-Apr-19,24971474 ,62387891 
13,Germany,24-Apr-19,27108549 ,64319294 
14,Greece,25-Apr-19,719293 ,4175061 
15,Hungary,25-Apr-19,1869661 ,4476885 
16,Iceland,26-Apr-19,210341 ,749185 
17,Italy,24-Apr-19,19570574 ,34025303 
18,Lithuania,26-Apr-19,250594 ,627672 
19,Netherlands,24-Apr-19,5924591 ,15067561 
20,Nigeria,26-Apr-19,523126 ,1360313 
21,Norway,24-Apr-19,2563454 ,8144856 
22,Poland,25-Apr-19,4676158 ,10558455 
23,Portugal,25-Apr-19,1709377 ,4296991 
24,Romania,26-Apr-19,903796 ,3376295 
25,Serbia,25-Apr-19,,804153 
26,Slovakia,25-Apr-19,847357 ,1990548 
27,Slovenia,25-Apr-19,237429 ,611641 
28,South Africa,26-Apr-19,2374923 ,7167751 
29,Spain,26-Apr-19,13440594 ,32666285 
30,Sweden,24-Apr-19,4937120 ,11757454 
31,Switzerland,24-Apr-19,4061031 ,8710255 
32,Turkey,26-Apr-19,3027473 ,7920068 
33,Ukraine,25-Apr-19,1935477 ,5971461 
34,United Arab Emirates,25-Apr-19,5935919 ,12783189 
35,United Kingdom of Great Britain and Northern Ireland,25-Apr-19,55981204 ,114921662 
38,Argentina,25-Apr-19,6809670 ,17724843 
39,Bolivia (Plurinational State of),25-Apr-19,1136801 ,3617750 
40,Brazil,25-Apr-19,26363627 ,85667373 
41,Chile,25-Apr-19,6501934 ,18864424 
42,Colombia,25-Apr-19,6115286 ,17689425 
43,Mexico,26-Apr-19,31905293 ,77594725 
44,Paraguay,25-Apr-19,624968 ,1564327 
45,Uruguay,25-Apr-19,594720 ,1366731 
46,Venezuela (Bolivarian Republic of),26-Apr-19,149742 ,1001684 
49,Australia,24-Apr-19,24010504 ,59103419 
50,Hong Kong,24-Apr-19,,29330722 
51,India,26-Apr-19,26757337 ,62678476 
52,Indonesia,24-Apr-19,15427619 ,34775278 
53,Japan,26-Apr-19,13176307 ,55280047 
54,Malaysia,24-Apr-19,10059257 ,21043570 
55,New Zealand,24-Apr-19,4039510 ,9306545 
56,Philippines,24-Apr-19,17977175 ,32839486 
57,Russian Federation,29-Apr-19,15411511 ,46006725 
58,Singapore,24-Apr-19,5517581 ,14346820 
59,"Korea, Republic of",24-Apr-19,46940721 ,105229503 
60,"Taiwan, Province of China",24-Apr-19,12847762 ,29386075 
61,Thailand,24-Apr-19,14165523 ,27230829 
62,Viet Nam,26-Apr-19,2971259 ,11703305 
65,China,24-Apr-19,175961330 ,614316021 
